month,category,brand,customer_type,channel,city_tier,sample_size,satisfaction_index,palatability,digestive_tolerance,price_value,availability,trust_quality,benefit_index_1to5,price_index_1to5,pack_size_g,price_per_kg_inr,relative_share_index,market_growth_pct,funnel_conversation_idx,funnel_consideration_idx,funnel_trial_idx,funnel_repeat_idx,repeat_rate_pct,trade_up_rate_pct,promo_flag,signal_source,category_desc,customer_type_desc,channel_desc,city_tier_desc
Sep-24,Dog-Mass,PEDIGREE,Budget/Community,Pet Specialty,1,16,69.06,74.98,63.17,87.89,89.14,56.6,4.14,1.41,3000,239.83,1.56,5.31,97,70,60,48,22.14,5.93,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,Price-sensitive; bulk/value focus; often includes community/stray feeders.,Offline pet-specialty retailers.,Tier-1 metros
Sep-24,Dog-Mass,PEDIGREE,Budget/Community,Pet Specialty,2,19,68.49,67.55,60.22,87.59,95.36,60.37,3.82,1.57,1000,266.58,1.55,8.22,99,74,60,42,27.08,0,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,Price-sensitive; bulk/value focus; often includes community/stray feeders.,Offline pet-specialty retailers.,Tier-2/mini-metros
Sep-24,Dog-Mass,PEDIGREE,Budget/Community,Pet Specialty,3,10,64.12,76.43,65.03,83.31,78.19,49.13,3.83,1.37,1000,230.22,1.61,6.7,102,80,60,45,24.78,0,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,Price-sensitive; bulk/value focus; often includes community/stray feeders.,Offline pet-specialty retailers.,Tier-3/smaller towns
Sep-24,Dog-Mass,PEDIGREE,Budget/Community,D2C,1,25,64.85,78.6,71.08,78.61,85.01,59.78,3.89,1.38,1000,263.92,1.6,7.88,92,80,58,45,28.36,0,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,Price-sensitive; bulk/value focus; often includes community/stray feeders.,Direct-to-consumer via brand-owned websites/apps.,Tier-1 metros
Sep-24,Dog-Mass,PEDIGREE,Budget/Community,D2C,2,14,68.32,80.87,60.89,79.15,76.99,63.49,3.82,1.44,10000,246.61,1.61,5.63,102,77,56,49,28.92,0,1,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,Price-sensitive; bulk/value focus; often includes community/stray feeders.,Direct-to-consumer via brand-owned websites/apps.,Tier-2/mini-metros
Sep-24,Dog-Mass,PEDIGREE,Budget/Community,D2C,3,14,62.23,74.07,66.72,83,81.29,45.87,4.11,1.5,1000,220.71,1.6,8.96,99,78,57,42,31.75,10.33,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,Price-sensitive; bulk/value focus; often includes community/stray feeders.,Direct-to-consumer via brand-owned websites/apps.,Tier-3/smaller towns
Sep-24,Dog-Mass,PEDIGREE,Budget/Community,Modern Trade,1,24,65.73,80.42,55.59,87.52,93.14,52.06,3.91,1.56,10000,250.16,1.57,6.78,96,79,55,47,28.34,3.43,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,Price-sensitive; bulk/value focus; often includes community/stray feeders.,Supermarkets/Hypermarkets and organized retail chains.,Tier-1 metros
Sep-24,Dog-Mass,PEDIGREE,Budget/Community,Modern Trade,2,19,64.7,66.69,70.26,87.16,88.18,73.23,3.87,1.67,10000,270.84,1.64,6.36,100,79,55,46,29.99,1.57,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,Price-sensitive; bulk/value focus; often includes community/stray feeders.,Supermarkets/Hypermarkets and organized retail chains.,Tier-2/mini-metros
Sep-24,Dog-Mass,PEDIGREE,Budget/Community,Modern Trade,3,18,61.72,64.85,67.94,78.15,84.72,64.95,4.04,1.45,10000,234.82,1.61,4.36,97,80,57,49,33.07,17.47,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,Price-sensitive; bulk/value focus; often includes community/stray feeders.,Supermarkets/Hypermarkets and organized retail chains.,Tier-3/smaller towns
Sep-24,Dog-Mass,PEDIGREE,Health-first,Pet Specialty,1,13,58.5,72.56,58.22,89.86,80.25,57.18,4.01,1.55,1000,263.6,1.56,7.03,100,74,58,47,24.72,6.75,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,"Prioritizes vet guidance, ingredients, and condition management; outcome-focused.",Offline pet-specialty retailers.,Tier-1 metros
Sep-24,Dog-Mass,PEDIGREE,Health-first,Pet Specialty,2,11,53.25,74.15,67.36,90.5,86.32,49.73,3.98,1.44,1000,225.38,1.67,7.72,100,81,60,46,29.4,1.12,1,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,"Prioritizes vet guidance, ingredients, and condition management; outcome-focused.",Offline pet-specialty retailers.,Tier-2/mini-metros
Sep-24,Dog-Mass,PEDIGREE,Health-first,Pet Specialty,3,18,54.34,63,63.76,80.79,69.27,60.14,3.91,1.61,1000,244.14,1.54,6.82,97,78,58,44,38,7.48,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,"Prioritizes vet guidance, ingredients, and condition management; outcome-focused.",Offline pet-specialty retailers.,Tier-3/smaller towns
Sep-24,Dog-Mass,PEDIGREE,Health-first,E-comm/Quick,1,21,61.46,68.03,69.11,79.24,79.31,61.03,3.72,1.54,1000,255.56,1.47,7.13,103,79,62,42,35.26,0,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,"Prioritizes vet guidance, ingredients, and condition management; outcome-focused.",E-commerce marketplaces and quick-commerce apps.,Tier-1 metros
Sep-24,Dog-Mass,PEDIGREE,Health-first,E-comm/Quick,2,10,50.82,64.32,62.58,95.23,79.88,52.4,3.88,1.74,10000,227.25,1.56,6.16,104,73,61,46,23.61,6.46,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,"Prioritizes vet guidance, ingredients, and condition management; outcome-focused.",E-commerce marketplaces and quick-commerce apps.,Tier-2/mini-metros
