month,category,brand,customer_type,channel,city_tier,sample_size,satisfaction_index,palatability,digestive_tolerance,price_value,availability,trust_quality,benefit_index_1to5,price_index_1to5,pack_size_g,price_per_kg_inr,relative_share_index,market_growth_pct,funnel_conversation_idx,funnel_consideration_idx,funnel_trial_idx,funnel_repeat_idx,repeat_rate_pct,trade_up_rate_pct,promo_flag,signal_source,category_desc,customer_type_desc,channel_desc,city_tier_desc
Sep-24,Dog-Mass,PEDIGREE,Budget/Community,Pet Specialty,1,35,65.73849953553932,74.98,63.17,87.89,88.73763844652217,54.84694279531526,4.14,1.41,3000,267.24,1.56,5.09,97,70,60,48,22.14,5.93,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,Price-sensitive; bulk/value focus; often includes community/stray feeders.,Offline pet-specialty retailers.,Tier-1 metros
Sep-24,Dog-Mass,PEDIGREE,Budget/Community,Pet Specialty,2,35,64.68602155203519,67.55,60.22,87.59,81.60281073928923,53.54632922875015,3.82,1.57,1000,282.46,1.55,5.14,99,74,60,42,27.08,0.0,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,Price-sensitive; bulk/value focus; often includes community/stray feeders.,Offline pet-specialty retailers.,Tier-2/mini-metros
Sep-24,Dog-Mass,PEDIGREE,Budget/Community,Pet Specialty,3,35,60.84686795048112,76.43,65.03,83.31,79.27592777343636,47.746879021368805,3.83,1.37,1000,203.76,1.61,5.08,102,80,60,45,24.78,0.0,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,Price-sensitive; bulk/value focus; often includes community/stray feeders.,Offline pet-specialty retailers.,Tier-3/smaller towns
Sep-24,Dog-Mass,PEDIGREE,Budget/Community,D2C,1,35,58.05693704532648,78.6,71.08,78.61,83.3327677691296,53.222469101899264,3.89,1.38,1000,281.47,1.6,7.22,92,80,58,45,28.36,0.0,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,Price-sensitive; bulk/value focus; often includes community/stray feeders.,Direct-to-consumer via brand-owned websites/apps.,Tier-1 metros
Sep-24,Dog-Mass,PEDIGREE,Budget/Community,D2C,2,35,56.97152247902194,80.87,60.89,79.15,80.19808393024358,56.902792073382685,3.82,1.44,10000,286.82,1.61,7.57,102,77,56,49,28.92,0.0,1,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,Price-sensitive; bulk/value focus; often includes community/stray feeders.,Direct-to-consumer via brand-owned websites/apps.,Tier-2/mini-metros
Sep-24,Dog-Mass,PEDIGREE,Budget/Community,D2C,3,35,57.979071875723534,74.07,66.72,83.0,77.33746905008694,58.69017964841275,4.11,1.5,1000,195.46,1.6,7.19,99,78,57,42,31.75,10.33,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,Price-sensitive; bulk/value focus; often includes community/stray feeders.,Direct-to-consumer via brand-owned websites/apps.,Tier-3/smaller towns
Sep-24,Dog-Mass,PEDIGREE,Budget/Community,Modern Trade,1,35,63.731022582516644,80.42,55.59,87.52,87.21539973998622,47.5613195044809,3.91,1.56,10000,273.36,1.57,5.96,96,79,55,47,28.34,3.43,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,Price-sensitive; bulk/value focus; often includes community/stray feeders.,Supermarkets/Hypermarkets and organized retail chains.,Tier-1 metros
Sep-24,Dog-Mass,PEDIGREE,Budget/Community,Modern Trade,2,35,61.599788984164896,66.69,70.26,87.16,81.84046737481587,49.48591203853029,3.87,1.67,10000,205.62,1.64,5.53,100,79,55,46,29.99,1.57,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,Price-sensitive; bulk/value focus; often includes community/stray feeders.,Supermarkets/Hypermarkets and organized retail chains.,Tier-2/mini-metros
Sep-24,Dog-Mass,PEDIGREE,Budget/Community,Modern Trade,3,35,57.38776430164074,64.85,67.94,78.15,80.96923399908212,59.62848890487566,4.04,1.45,10000,201.19,1.61,5.99,97,80,57,49,33.07,17.47,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,Price-sensitive; bulk/value focus; often includes community/stray feeders.,Supermarkets/Hypermarkets and organized retail chains.,Tier-3/smaller towns
Sep-24,Dog-Mass,PEDIGREE,Health-first,Pet Specialty,1,35,68.14086701094304,72.56,58.22,89.86,83.07236287244636,53.64312990710945,4.01,1.55,1000,307.62,1.56,5.61,100,74,58,47,24.72,6.75,0,coded_public_consumer_discussions,Mass-market complete dog nutrition (value/availability focus) ��� anchor brand: PED,"Prioritizes vet guidance, ingredients, and condition management; outcome-focused.",Offline pet-specialty retailers.,Tier-1 metros
